map_date,none,d0,d1,d2,d3,d4
2014-12-30,0.0,100.0,100.0,0.0,0.0,0.0
2015-01-06,0.0,100.0,100.0,0.0,0.0,0.0
2015-01-13,0.0,100.0,100.0,0.0,0.0,0.0
2015-01-20,0.0,100.0,100.0,0.0,0.0,0.0
2015-01-27,0.0,100.0,100.0,0.01,0.0,0.0
2015-02-03,0.0,100.0,100.0,0.01,0.0,0.0
2015-02-10,0.0,100.0,100.0,0.01,0.0,0.0
2015-02-17,0.0,100.0,100.0,0.01,0.0,0.0
2015-02-24,0.0,100.0,100.0,0.01,0.0,0.0
2015-03-03,0.0,100.0,100.0,0.01,0.0,0.0
2015-03-10,0.0,100.0,100.0,0.01,0.0,0.0
2015-03-17,0.0,100.0,100.0,0.01,0.0,0.0
2015-03-24,0.0,100.0,100.0,97.77,0.0,0.0
2015-03-31,0.0,100.0,100.0,97.77,0.0,0.0
2015-04-07,0.0,100.0,100.0,97.77,0.0,0.0
2015-04-14,0.0,100.0,100.0,86.92,0.0,0.0
2015-04-21,0.0,100.0,100.0,86.92,0.0,0.0
2015-04-28,0.0,100.0,100.0,86.55,0.0,0.0
2015-05-05,0.0,100.0,100.0,86.55,0.0,0.0
2015-05-12,0.0,100.0,77.11,57.27,0.0,0.0
2015-05-19,2.64,97.36,77.11,0.0,0.0,0.0
2015-05-26,100.0,0.0,0.0,0.0,0.0,0.0
2015-06-02,100.0,0.0,0.0,0.0,0.0,0.0
2015-06-09,100.0,0.0,0.0,0.0,0.0,0.0
2015-06-16,100.0,0.0,0.0,0.0,0.0,0.0
2015-06-23,100.0,0.0,0.0,0.0,0.0,0.0
2015-06-30,100.0,0.0,0.0,0.0,0.0,0.0
2015-07-07,100.0,0.0,0.0,0.0,0.0,0.0
2015-07-14,100.0,0.0,0.0,0.0,0.0,0.0
2015-07-21,100.0,0.0,0.0,0.0,0.0,0.0
2015-07-28,100.0,0.0,0.0,0.0,0.0,0.0
2015-08-04,100.0,0.0,0.0,0.0,0.0,0.0
2015-08-11,100.0,0.0,0.0,0.0,0.0,0.0
2015-08-18,4.2,95.8,0.0,0.0,0.0,0.0
2015-08-25,100.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,100.0,0.0,0.0,0.0,0.0,0.0
2015-09-08,100.0,0.0,0.0,0.0,0.0,0.0
2015-09-15,65.61,34.39,0.0,0.0,0.0,0.0
2015-09-22,83.72,16.28,0.0,0.0,0.0,0.0
2015-09-29,83.33,16.67,0.0,0.0,0.0,0.0
2015-10-06,83.33,16.67,0.0,0.0,0.0,0.0
2015-10-13,83.33,16.67,0.0,0.0,0.0,0.0
2015-10-20,83.33,16.67,0.73,0.0,0.0,0.0
2015-10-27,0.0,100.0,0.2,0.0,0.0,0.0
2015-11-03,0.0,100.0,0.2,0.0,0.0,0.0
2015-11-10,0.0,100.0,0.2,0.0,0.0,0.0
2015-11-17,0.0,100.0,0.2,0.0,0.0,0.0
2015-11-24,0.0,100.0,0.2,0.0,0.0,0.0
2015-12-01,99.73,0.27,0.0,0.0,0.0,0.0
2015-12-08,100.0,0.0,0.0,0.0,0.0,0.0
2015-12-15,100.0,0.0,0.0,0.0,0.0,0.0
2015-12-22,100.0,0.0,0.0,0.0,0.0,0.0
2015-12-29,100.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,100.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,100.0,0.0,0.0,0.0,0.0,0.0
2016-01-19,100.0,0.0,0.0,0.0,0.0,0.0
2016-01-26,100.0,0.0,0.0,0.0,0.0,0.0
2016-02-02,100.0,0.0,0.0,0.0,0.0,0.0
2016-02-09,100.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,100.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,100.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,100.0,0.0,0.0,0.0,0.0,0.0
2016-03-08,99.85,0.15,0.0,0.0,0.0,0.0
2016-03-15,99.85,0.15,0.0,0.0,0.0,0.0
2016-03-22,99.85,0.15,0.0,0.0,0.0,0.0
2016-03-29,0.0,100.0,0.0,0.0,0.0,0.0
2016-04-05,0.0,100.0,0.0,0.0,0.0,0.0
2016-04-12,0.0,100.0,0.0,0.0,0.0,0.0
2016-04-19,27.01,72.99,0.0,0.0,0.0,0.0
2016-04-26,27.01,72.99,0.0,0.0,0.0,0.0
2016-05-03,100.0,0.0,0.0,0.0,0.0,0.0
2016-05-10,100.0,0.0,0.0,0.0,0.0,0.0
2016-05-17,100.0,0.0,0.0,0.0,0.0,0.0
2016-05-24,100.0,0.0,0.0,0.0,0.0,0.0
2016-05-31,100.0,0.0,0.0,0.0,0.0,0.0
2016-06-07,100.0,0.0,0.0,0.0,0.0,0.0
2016-06-14,100.0,0.0,0.0,0.0,0.0,0.0
2016-06-21,0.83,99.17,0.0,0.0,0.0,0.0
2016-06-28,0.57,99.43,81.09,0.0,0.0,0.0
2016-07-05,1.34,98.66,45.16,0.0,0.0,0.0
2016-07-12,0.77,99.23,52.49,0.0,0.0,0.0
2016-07-19,6.51,93.49,6.33,0.0,0.0,0.0
2016-07-26,3.91,96.09,5.36,0.0,0.0,0.0
2016-08-02,3.91,96.09,1.66,0.0,0.0,0.0
2016-08-09,3.91,96.09,0.0,0.0,0.0,0.0
2016-08-16,3.91,96.09,0.0,0.0,0.0,0.0
2016-08-23,3.91,96.09,1.11,0.0,0.0,0.0
2016-08-30,5.0,95.0,1.11,0.0,0.0,0.0
2016-09-06,5.0,95.0,1.11,0.0,0.0,0.0
2016-09-13,5.0,95.0,0.0,0.0,0.0,0.0
2016-09-20,0.0,100.0,0.0,0.0,0.0,0.0
2016-09-27,0.0,100.0,0.0,0.0,0.0,0.0
2016-10-04,0.0,100.0,0.0,0.0,0.0,0.0
2016-10-11,100.0,0.0,0.0,0.0,0.0,0.0
2016-10-18,65.91,34.09,0.0,0.0,0.0,0.0
2016-10-25,65.91,34.09,0.0,0.0,0.0,0.0
2016-11-01,38.07,61.93,0.0,0.0,0.0,0.0
2016-11-08,8.35,91.65,0.0,0.0,0.0,0.0
2016-11-15,8.35,91.65,0.0,0.0,0.0,0.0
2016-11-22,0.9,99.1,0.0,0.0,0.0,0.0
2016-11-29,0.0,100.0,97.64,0.0,0.0,0.0
2016-12-06,0.0,100.0,100.0,0.0,0.0,0.0
2016-12-13,0.0,100.0,100.0,9.21,0.0,0.0
2016-12-20,0.0,100.0,100.0,77.83,0.0,0.0
2016-12-27,0.0,100.0,100.0,87.32,0.0,0.0
2017-01-03,0.0,100.0,100.0,100.0,0.0,0.0
2017-01-10,0.0,100.0,100.0,100.0,0.0,0.0
2017-01-17,0.0,100.0,100.0,100.0,0.0,0.0
2017-01-24,0.0,100.0,100.0,100.0,0.0,0.0
2017-01-31,0.0,100.0,100.0,100.0,0.0,0.0
2017-02-07,0.0,100.0,100.0,100.0,0.0,0.0
2017-02-14,0.0,100.0,100.0,100.0,0.0,0.0
2017-02-21,0.0,100.0,100.0,100.0,0.0,0.0
2017-02-28,0.0,100.0,100.0,100.0,0.0,0.0
2017-03-07,0.0,100.0,100.0,100.0,0.0,0.0
2017-03-14,0.0,100.0,100.0,100.0,0.0,0.0
2017-03-21,0.0,100.0,100.0,100.0,0.0,0.0
2017-03-28,0.0,100.0,100.0,100.0,0.0,0.0
2017-04-04,0.0,100.0,99.94,0.0,0.0,0.0
2017-04-11,0.0,100.0,99.94,0.0,0.0,0.0
2017-04-18,0.0,100.0,0.0,0.0,0.0,0.0
2017-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2017-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2017-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2017-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2017-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2017-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2017-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2017-06-13,67.9,32.1,0.0,0.0,0.0,0.0
2017-06-20,97.0,3.0,0.0,0.0,0.0,0.0
2017-06-27,0.0,100.0,0.0,0.0,0.0,0.0
2017-07-04,96.95,3.05,0.0,0.0,0.0,0.0
2017-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2017-07-18,99.83,0.17,0.0,0.0,0.0,0.0
2017-07-25,0.05,99.95,0.0,0.0,0.0,0.0
2017-08-01,0.0,100.0,0.0,0.0,0.0,0.0
2017-08-08,20.5,79.5,0.0,0.0,0.0,0.0
2017-08-15,1.53,98.47,0.0,0.0,0.0,0.0
2017-08-22,77.94,22.06,0.0,0.0,0.0,0.0
2017-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2017-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2017-09-12,90.71,9.29,0.0,0.0,0.0,0.0
2017-09-19,5.78,94.22,0.0,0.0,0.0,0.0
2017-09-26,5.77,94.23,0.0,0.0,0.0,0.0
2017-10-03,95.01,4.99,0.0,0.0,0.0,0.0
2017-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2017-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2017-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2017-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2017-11-07,100.0,0.0,0.0,0.0,0.0,0.0
2017-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2017-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2017-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2017-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2017-12-12,0.0,100.0,0.0,0.0,0.0,0.0
2017-12-19,0.0,100.0,0.0,0.0,0.0,0.0
2017-12-26,0.0,100.0,0.0,0.0,0.0,0.0
2018-01-02,0.0,100.0,0.0,0.0,0.0,0.0
2018-01-09,0.0,100.0,0.0,0.0,0.0,0.0
2018-01-16,0.0,100.0,0.0,0.0,0.0,0.0
2018-01-23,0.0,100.0,100.0,0.0,0.0,0.0
2018-01-30,0.0,100.0,100.0,100.0,0.0,0.0
2018-02-06,0.0,100.0,100.0,100.0,0.0,0.0
2018-02-13,0.0,100.0,100.0,100.0,0.0,0.0
2018-02-20,0.0,100.0,100.0,100.0,0.0,0.0
2018-02-27,0.0,100.0,100.0,0.01,0.0,0.0
2018-03-06,0.0,100.0,3.39,0.0,0.0,0.0
2018-03-13,0.0,100.0,5.4,0.0,0.0,0.0
2018-03-20,0.0,100.0,5.4,0.0,0.0,0.0
2018-03-27,0.0,100.0,5.4,0.0,0.0,0.0
2018-04-03,0.0,100.0,4.12,0.0,0.0,0.0
2018-04-10,0.0,100.0,4.12,0.0,0.0,0.0
2018-04-17,0.0,100.0,4.12,0.0,0.0,0.0
2018-04-24,0.0,100.0,4.12,0.0,0.0,0.0
2018-05-01,0.0,100.0,4.12,0.0,0.0,0.0
2018-05-08,0.0,100.0,4.12,0.0,0.0,0.0
2018-05-15,0.0,100.0,41.5,0.07,0.0,0.0
2018-05-22,0.0,100.0,42.92,0.17,0.0,0.0
2018-05-29,0.0,100.0,42.92,0.17,0.0,0.0
2018-06-05,0.0,100.0,42.92,0.17,0.0,0.0
2018-06-12,0.0,100.0,0.2,0.0,0.0,0.0
2018-06-19,0.0,100.0,0.2,0.0,0.0,0.0
2018-06-26,91.84,8.16,0.0,0.0,0.0,0.0
2018-07-03,91.46,8.54,0.0,0.0,0.0,0.0
2018-07-10,91.46,8.54,0.0,0.0,0.0,0.0
2018-07-17,91.46,8.54,0.0,0.0,0.0,0.0
2018-07-24,27.37,72.63,0.0,0.0,0.0,0.0
2018-07-31,35.82,64.18,0.0,0.0,0.0,0.0
2018-08-07,35.82,64.18,14.03,0.0,0.0,0.0
2018-08-14,35.82,64.18,14.03,0.0,0.0,0.0
2018-08-21,86.15,13.85,0.0,0.0,0.0,0.0
2018-08-28,86.85,13.15,0.0,0.0,0.0,0.0
2018-09-04,86.85,13.15,0.0,0.0,0.0,0.0
2018-09-11,100.0,0.0,0.0,0.0,0.0,0.0
2018-09-18,100.0,0.0,0.0,0.0,0.0,0.0
2018-09-25,100.0,0.0,0.0,0.0,0.0,0.0
2018-10-02,100.0,0.0,0.0,0.0,0.0,0.0
