date,kbbl
2004-04-09,11677
2004-04-16,12512
2004-04-23,12905
2004-04-30,12731
2004-05-07,13631
2004-05-14,14358
2004-05-21,15378
2004-05-28,15971
2004-06-04,16521
2004-06-11,15494
2004-06-18,13709
2004-06-25,11810
2004-07-02,15297
2004-07-09,16361
2004-07-16,15949
2004-07-23,16577
2004-07-30,15236
2004-08-06,14767
2004-08-13,14215
2004-08-20,14512
2004-08-27,14395
2004-09-03,15896
2004-09-10,14266
2004-09-17,13968
2004-09-24,14094
2004-10-01,13981
2004-10-08,14148
2004-10-15,14561
2004-10-22,15176
2004-10-29,14626
2004-11-05,16281
2004-11-12,13013
2004-11-19,16038
2004-11-26,16079
2004-12-03,16141
2004-12-10,16356
2004-12-17,16596
2004-12-24,16644
2004-12-31,16698
2005-01-07,15925
2005-01-14,16548
2005-01-21,16912
2005-01-28,17480
2005-02-04,17460
2005-02-11,17495
2005-02-18,17811
2005-02-25,18186
2005-03-04,19042
2005-03-11,19154
2005-03-18,20214
2005-03-25,20234
2005-04-01,21149
2005-04-08,21927
2005-04-15,22234
2005-04-22,22780
2005-04-29,22529
2005-05-06,21952
2005-05-13,22047
2005-05-20,20540
2005-05-27,20417
2005-06-03,19965
2005-06-10,20141
2005-06-17,19771
2005-06-24,19296
2005-07-01,18585
2005-07-08,18848
2005-07-15,18605
2005-07-22,18760
2005-07-29,19334
2005-08-05,18624
2005-08-12,18761
2005-08-19,17836
2005-08-26,17984
2005-09-02,16640
2005-09-09,16087
2005-09-16,16064
2005-09-23,17222
2005-09-30,15523
2005-10-07,14700
2005-10-14,14619
2005-10-21,15010
2005-10-28,15603
2005-11-04,16448
2005-11-11,17147
2005-11-18,16876
2005-11-25,17314
2005-12-02,17734
2005-12-09,21355
2005-12-16,21242
2005-12-23,22116
2005-12-30,21894
2006-01-06,21635
2006-01-13,21759
2006-01-20,21386
2006-01-27,21118
2006-02-03,21087
2006-02-10,21267
2006-02-17,22439
2006-02-24,22244
2006-03-03,23528
2006-03-10,24022
2006-03-17,23899
2006-03-24,25300
2006-03-31,24943
2006-04-07,24472
2006-04-14,25147
2006-04-21,25055
2006-04-28,24999
2006-05-05,25121
2006-05-12,24429
2006-05-19,23157
2006-05-26,22569
2006-06-02,23236
2006-06-09,22527
2006-06-16,23642
2006-06-23,24127
2006-06-30,24920
